gid,NUMPOINTS,경도,위도
마마56bb07bb,0,129.2265328,35.35418624
마마56bb08aa,0,129.2265808,35.35643944
마마56bb08ab,0,129.2266287,35.35869264
마마56bb08ba,0,129.2266767,35.36094584
마마56bb08bb,0,129.2267247,35.36319904
마마56bb09aa,0,129.2267727,35.36545223
마마56bb09ab,0,129.2268207,35.36770543
마마56bb09ba,0,129.2268687,35.36995863
마마56bb09bb,0,129.2269167,35.37221182
마마56bb10aa,0,129.2269647,35.37446502
마마56bb10ab,0,129.2270128,35.37671821
마마56bb10ba,0,129.2270608,35.3789714
마마56bb10bb,0,129.2271088,35.38122459
마마57aa00aa,0,129.2277962,35.28429732
마마57aa00ab,0,129.2278441,35.28655054
마마57aa00ba,0,129.227892,35.28880377
마마57aa00bb,0,129.2279399,35.29105699
마마57aa01aa,0,129.2279878,35.29331022
마마57aa01ab,0,129.2280357,35.29556344
마마57aa01ba,0,129.2280836,35.29781666
마마57aa01bb,0,129.2281315,35.30006988
마마57aa02aa,0,129.2281795,35.3023231
마마57aa02ab,0,129.2282274,35.30457632
마마57aa02ba,0,129.2282753,35.30682954
마마57aa02bb,1,129.2283233,35.30908275
마마57aa03aa,0,129.2283712,35.31133597
마마57aa03ab,0,129.2284192,35.31358918
마마57aa03ba,0,129.2284671,35.3158424
마마57aa03bb,0,129.2285151,35.31809561
마마57aa04aa,0,129.228563,35.32034883
마마57aa04ab,0,129.228611,35.32260204
마마57aa04ba,0,129.228659,35.32485525
마마57aa04bb,0,129.228707,35.32710846
마마57aa05aa,0,129.2287549,35.32936167
마마57aa05ab,1,129.2288029,35.33161487
마마57aa05ba,0,129.2288509,35.33386808
마마57aa05bb,0,129.2288989,35.33612129
마마57aa06aa,0,129.2289469,35.33837449
마마57aa06ab,0,129.2289949,35.3406277
마마57aa06ba,0,129.229043,35.3428809
마마57aa06bb,0,129.229091,35.3451341
마마57aa07aa,0,129.229139,35.34738731
마마57aa07ab,0,129.229187,35.34964051
마마57aa07ba,0,129.2292351,35.35189371
마마57aa07bb,0,129.2292831,35.35414691
마마57aa08aa,0,129.2293312,35.3564001
마마57aa08ab,0,129.2293792,35.3586533
마마57aa08ba,0,129.2294273,35.3609065
마마57aa08bb,0,129.2294754,35.36315969
마마57aa09aa,0,129.2295234,35.36541289
마마57aa09ab,0,129.2295715,35.36766608
마마57aa09ba,0,129.2296196,35.36991927
마마57aa09bb,0,129.2296677,35.37217247
마마57aa10aa,0,129.2297158,35.37442566
마마57aa10ab,0,129.2297639,35.37667885
마마57aa10ba,0,129.229812,35.37893204
마마57aa10bb,0,129.2298601,35.38118523
마마57ab00aa,0,129.2305442,35.28425802
마마57ab00ab,0,129.2305922,35.28651125
마마57ab00ba,0,129.2306401,35.28876447
마마57ab00bb,0,129.2306881,35.29101769
마마57ab01aa,0,129.2307361,35.29327091
마마57ab01ab,0,129.2307841,35.29552413
마마57ab01ba,0,129.230832,35.29777735
마마57ab01bb,0,129.23088,35.30003057
마마57ab02aa,0,129.230928,35.30228378
마마57ab02ab,1,129.230976,35.304537
마마57ab02ba,0,129.231024,35.30679021
마마57ab02bb,0,129.2310721,35.30904343
마마57ab03aa,0,129.2311201,35.31129664
마마57ab03ab,0,129.2311681,35.31354985
마마57ab03ba,0,129.2312161,35.31580306
마마57ab03bb,0,129.2312642,35.31805627
마마57ab04aa,0,129.2313122,35.32030948
마마57ab04ab,0,129.2313603,35.32256269
마마57ab04ba,0,129.2314083,35.3248159
마마57ab04bb,0,129.2314564,35.3270691
마마57ab05aa,0,129.2315044,35.32932231
마마57ab05ab,0,129.2315525,35.33157551
마마57ab05ba,0,129.2316006,35.33382872
마마57ab05bb,0,129.2316486,35.33608192
마마57ab06aa,0,129.2316967,35.33833512
마마57ab06ab,0,129.2317448,35.34058832
마마57ab06ba,0,129.2317929,35.34284152
마마57ab06bb,0,129.231841,35.34509472
마마57ab07aa,0,129.2318891,35.34734792
마마57ab07ab,0,129.2319372,35.34960112
마마57ab07ba,0,129.2319853,35.35185432
마마57ab07bb,0,129.2320334,35.35410751
