"인허가번호","시도","시군구","법정동","대지구분","번","지","허가구분","허가번호","허가일","관리기관","건축구분","대지위치","지목","대지면적___","건축면적___","건폐율___","연면적___","용적률산전용면적___","용적률___","건축물명칭","주용도","주건축물수","부속건축물수","주차장_자주식_옥내_대_","주차장_자주식_옥외_대_","주차장_자주식_인근_대_","주차장_기계식_옥내_대_","주차장_기계식_옥외_대_","주차장_기계식_인근_대_","주차장_면제_대_","착공구분","착공예정일","착공처리일","사용승인구분","사용승인일","동명칭","주용도_동_","대표용도_동_","세대수_동_","호수_동_","가구수_동_","주구조_동_","기타구조_동_","지붕구조_동_","건축면적_동____","연면적_동____","용적률산정용면적_동____","지하층수_동_","지상층수_동_","높이_m_","승용승강기수_동_","비상용승강기수_동_","건축주상호명","시공자_상호명","시공자_등록번호","설계자_사무소명","설계자_등록번호","감리자_사무소명","감리자_등록번호"
"26710-100094049","부산광역시","기장군","장안읍 길천리","대지","0383","0000","신축허가","2018-창조건축과-신축허가-222","20180906","부산시기장군","신축",,"전",155,92.46,59.65,271.54,271.54,175.19,"장안읍 길천리 383 단독주택 (서현승)3부지","단독주택",1,0,0,2,0,0,0,0,0,"착공","20200625","20200617",,,"주건축물제1동","단독주택","다중주택",0,11,0,"철근콘크리트구조",,"(철근)콘크리트",92.46,271.54,271.54,0,3,8.6,"0","0",,,,"(주)종합건축사사무소로얄설계","4998800514","환건축사사무소",
"26710-100094050","부산광역시","기장군","장안읍 길천리","대지","0383","0000","신축허가","2018-창조건축과-신축허가-223","20180906","부산시기장군","신축",,"전",155,92.16,59.46,270.2,270.2,174.32,"장안읍 길천리 383 단독주택 (서현승)4부지","단독주택",1,0,0,2,0,0,0,0,0,"착공","20200625","20200617",,,"주건축물제1동","단독주택","다중주택",0,11,0,"철근콘크리트구조",,"(철근)콘크리트",92.16,270.2,270.2,0,3,8.6,"0","0",,,,"(주)종합건축사사무소로얄설계","4998800514","(주)위드설계건축사사무소","6178166833"
"26710-100095369","부산광역시","기장군","장안읍 반룡리","대지","0894","0000","신축허가","2018-창조건축과-신축허가-251","20181105","부산시기장군","신축",,"대",3491.5,1970.35,56.43,17343.03,13694.59,392.23,"장안읍 반룡리 894번지 (주식회사 자연과도시)","공동주택",1,1,61,0,0,78,0,61,0,"착공","20200720","20200730",,,"부속건축물제1동","공동주택","아파트",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",26.5,26.5,26.5,0,1,4,"0","0",,"미진건설주식회사","6058135899","(주)이종윤건축사사무소","6078141494","(주)이종윤건축사사무소","6078141494"
"26710-100095369","부산광역시","기장군","장안읍 반룡리","대지","0894","0000","신축허가","2018-창조건축과-신축허가-251","20181105","부산시기장군","신축",,"대",3491.5,1970.35,56.43,17343.03,13694.59,392.23,"장안읍 반룡리 894번지 (주식회사 자연과도시)","공동주택",1,1,61,0,0,78,0,61,0,"착공","20200720","20200730",,,"주건축물제1동","공동주택","아파트",170,40,0,"철근콘크리트구조",,"(철근)콘크리트",1943.85,17343.03,13668.09,2,20,54.15,"0","5",,"미진건설주식회사","6058135899","(주)이종윤건축사사무소","6078141494","(주)이종윤건축사사무소","6078141494"
"26710-100099653","부산광역시","기장군","일광면 삼성리","대지","0890","0003","신축허가","2019-창조건축과-신축허가-34","20190326","부산시기장군","신축",,"대",681.7,384.47,56.4,3886.7,3488.99,511.81,"일광면 일광지구 D4 4 숙박시설 (신영가설산업(주))","숙박시설",1,1,0,1,0,0,40,0,0,"착공","20200626","20200626",,,"주건축물제1동","숙박시설","생활숙박시설",0,53,0,"철근콘크리트구조",,"(철근)콘크리트",384.47,3886.7,3488.99,1,12,47.6,"2","0",,"예린종합건설(주)","1418134659","(주)우양건축사사무소","6158197586","종합건축사사무소평부",
"26710-100099653","부산광역시","기장군","일광면 삼성리","대지","0890","0003","신축허가","2019-창조건축과-신축허가-34","20190326","부산시기장군","신축",,"대",681.7,384.47,56.4,3886.7,3488.99,511.81,"일광면 일광지구 D4 4 숙박시설 (신영가설산업(주))","숙박시설",1,1,0,1,0,0,40,0,0,"착공","20200626","20200626",,,"부속건축물제2동","숙박시설","기타숙박시설",0,0,0,"철근콘크리트구조",,"(철근)콘크리트",0,0,0,0,1,3.6,"0","0",,"예린종합건설(주)","1418134659","(주)우양건축사사무소","6158197586","종합건축사사무소평부",
"26710-100100589","부산광역시","기장군","정관읍 용수리","대지","1038","0007","신축허가","2019-창조건축과-신축허가-47","20190423","부산시기장군","신축",,"답",3925,494,12.59,494,494,12.59,,"제2종근린생활시설",2,0,0,4,0,0,0,0,0,"착공","20200701","20200622",,,"주건축물제1동","제2종근린생활시설","제조업소",0,0,0,"일반철골구조",,"기타지붕",296,296,296,0,1,9.9,"0","0",,"케이지이종합건설(주)","6218169770","(주)경도건축사사무소엔지니어링","6218171752","건축사사무소 장원","2630800999"
"26710-100100589","부산광역시","기장군","정관읍 용수리","대지","1038","0007","신축허가","2019-창조건축과-신축허가-47","20190423","부산시기장군","신축",,"답",3925,494,12.59,494,494,12.59,,"제2종근린생활시설",2,0,0,4,0,0,0,0,0,"착공","20200701","20200622",,,"주건축물제2동","제2종근린생활시설","제조업소",0,0,0,"일반철골구조",,"기타지붕",198,198,198,0,1,5.9,"0","0",,"케이지이종합건설(주)","6218169770","(주)경도건축사사무소엔지니어링","6218171752","건축사사무소 장원","2630800999"
"26710-100100789","부산광역시","기장군","장안읍 기룡리","산","0192","0003","증축허가","2019-창조건축과-증축허가-17","20190429","부산시기장군","증축","부산광역시 기장군 방모산2길 37 (장안읍)","과수원",1464,212.06,14.48,370.76,370.76,25.33,,"제2종근린생활시설",2,0,21,0,0,0,0,21,0,"착공","20200529","20200604",,,"주건축물 제1동","제2종근린생활시설","사무소",0,0,1,"일반철골구조","일반철골구조","기타지붕",148.5,296.5,296.5,0,1,9.8,"0","0",,"(주)루원종합건설","6348100781","(주)루원건축사사무소","4348100105","cna건축사사무소",
"26710-100104690","부산광역시","기장군","장안읍 기룡리","대지","1067","0175","신축신고","2019-창조건축과-신축신고-53","20190902","부산시기장군","신축",,"답",660,94.6,14.33,94.6,94.6,14.33,"장안읍 기룡리 1067-175 제1종근린생활시설 (여채현)","제1종근린생활시설",1,0,,,,,,,,"착공","20200728","20200730",,,"주건축물제1동","제1종근린생활시설","소매점",0,0,0,"일반철골구조",,"기타지붕",94.6,94.6,94.6,0,1,5.9,"0","0",,,,"봉각건축사사무소","2900400372",,
